City,Date,Cloudiness,Country,Humidity,Lat,Lng,Max Temp,Wind Speed
bambanglipuro,1566621753,72.0,ID,83.0,-7.95,110.28,74.54,14.54
nouakchott,1566621754,0.0,MR,88.0,18.08,-15.98,78.8,4.7
svetlaya,1566621755,100.0,RU,89.0,46.54,138.33,52.4,1.86
aktau,1566621757,0.0,KZ,23.0,43.65,51.16,86.0,15.66
ulaangom,1566621758,0.0,MN,28.0,49.98,92.07,66.44,7.27
motril,1566621760,0.0,ES,82.0,36.75,-3.52,70.0,3.62
dauriya,1566621762,0.0,RU,44.0,49.93,116.85,73.1,4.29
novoaltaysk,1566621763,0.0,RU,59.0,53.39,83.94,66.2,8.95
saint-pierre,1566621764,0.0,FR,77.0,48.95,4.24,59.0,4.7
mae ramat,1566621766,75.0,TH,83.0,16.98,98.52,82.4,2.75
sorrento,1566621767,20.0,AU,54.0,-31.82,115.75,64.99,6.93
melioratorov,1566621768,0.0,RU,72.0,57.21,65.61,61.0,13.42
porto tolle,1566621769,0.0,IT,78.0,44.95,12.32,73.0,6.93
faya,1566621771,0.0,SA,55.0,18.39,42.45,68.0,6.67
port hedland,1566621773,0.0,AU,15.0,-20.31,118.58,87.8,9.17
arawa,1566621775,20.0,ID,81.0,-3.93,119.75,80.3,16.2
sivota,1566621776,0.0,GR,69.0,39.41,20.25,80.01,3.36
ulladulla,1566621777,0.0,AU,18.0,-35.36,150.48,73.4,16.11
anchorage,1566621506,20.0,US,51.0,61.22,-149.89,64.4,8.05
komarikhinskiy,1566621780,0.0,RU,82.0,58.1,57.12,57.2,8.95
makokou,1566621781,100.0,GA,97.0,0.56,12.85,68.42,4.12
nanzhang,1566621782,34.0,CN,56.0,31.78,111.84,83.54,5.97
chuy,1566621784,12.0,UY,89.0,-33.69,-53.46,46.28,2.62
lively,1566621786,40.0,US,74.0,32.41,-96.32,84.99,3.36
stillwater,1566621635,1.0,US,94.0,36.12,-97.06,73.99,3.36
clyde river,1566621571,1.0,CA,54.0,70.47,-68.59,55.4,17.22
lamu,1566621791,96.0,CN,68.0,35.77,102.37,63.92,6.04
paracuru,1566621792,20.0,BR,74.0,-3.41,-39.03,78.8,13.87
hami,1566621793,0.0,CN,15.0,42.84,93.51,90.74,8.7
banda aceh,1566621795,100.0,ID,76.0,5.56,95.32,81.74,17.0
calvinia,1566621796,0.0,ZA,29.0,-31.47,19.78,60.32,5.44
malangwa,1566621799,42.0,CD,54.0,-2.84,17.57,80.48,5.61
emba,1566621760,0.0,CY,60.0,34.81,32.42,80.6,6.93
